วันที่,day_name,day_type,is_holiday,holiday_subject,รถไฟฟ้า ARL,รถไฟฟ้า BTS,รถไฟฟ้าสายสีชมพู,รถไฟฟ้าสายสีน้ำเงิน,รถไฟฟ้าสายสีม่วง,รถไฟฟ้าสายสีเหลือง,รถไฟฟ้าสายสีแดง,rain_average,day_of_week,is_weekend,month,rain
2020-05-05,วันอังคาร,1,normal,normal,19081.0,233300.0,,122105.0,18425.0,,,0.0,1,0,5,0
2020-05-06,วันพุธ,0,holiday,วันวิสาขบูชา,8727.0,109100.0,,53934.0,8227.0,,,0.0,2,0,5,0
2020-05-07,วันพหัสบดี,1,normal,normal,19547.0,217400.0,,124014.0,18620.0,,,0.0,3,0,5,0
2020-05-08,วันศุกร์,1,normal,normal,19539.0,240600.0,,122054.0,19023.0,,,0.0,4,0,5,0
2020-05-09,วันเสาร์,0,normal,normal,9775.0,123100.0,,62197.0,10309.0,,,0.0,5,1,5,0
2020-05-10,วันอาทิตย์,0,normal,normal,7791.0,97300.0,,48561.0,8021.0,,,0.0,6,1,5,0
2020-05-11,วันจันทร์,0,holiday,วันพืชมงคล (ราชการ),18123.0,221100.0,,110513.0,15749.0,,,3.7777777777777777,0,0,5,0
2020-05-12,วันอังคาร,1,normal,normal,20161.0,252600.0,,127306.0,19519.0,,,0.0,1,0,5,0
2020-05-13,วันพุธ,1,normal,normal,20639.0,251000.0,,127371.0,18733.0,,,0.0,2,0,5,0
2020-05-14,วันพหัสบดี,1,normal,normal,20109.0,251600.0,,125719.0,18750.0,,,3.622222222222222,3,0,5,0
2020-05-15,วันศุกร์,1,normal,normal,21078.0,262700.0,,129864.0,19444.0,,,0.7111111111111111,4,0,5,0
2020-05-16,วันเสาร์,0,normal,normal,11261.0,142100.0,,72312.0,11257.0,,,0.0444444444444444,5,1,5,0
2020-05-17,วันอาทิตย์,0,normal,normal,9705.0,144900.0,,67284.0,10708.0,,,3.888888888888889,6,1,5,0
2020-05-18,วันจันทร์,1,normal,normal,23482.0,235300.0,,142951.0,20839.0,,,0.5333333333333334,0,0,5,0
2020-05-19,วันอังคาร,1,normal,normal,23026.0,297200.0,,145401.0,21041.0,,,0.7555555555555555,1,0,5,0
2020-05-20,วันพุธ,1,normal,normal,23182.0,303600.0,,147798.0,21542.0,,,0.3999999999999999,2,0,5,0
2020-05-21,วันพหัสบดี,1,normal,normal,23138.0,300300.0,,146319.0,21370.0,,,0.0444444444444444,3,0,5,0
2020-05-22,วันศุกร์,1,normal,normal,23526.0,309900.0,,149868.0,22300.0,,,0.0,4,0,5,0
2020-05-23,วันเสาร์,0,normal,normal,12691.0,180800.0,,87637.0,13852.0,,,0.9333333333333332,5,1,5,0
2020-05-24,วันอาทิตย์,0,normal,normal,10602.0,149400.0,,69097.0,10593.0,,,15.488888888888887,6,1,5,1
2020-05-25,วันจันทร์,1,normal,normal,24125.0,316700.0,,153448.0,22788.0,,,0.7333333333333334,0,0,5,0
2020-05-26,วันอังคาร,1,normal,normal,24198.0,316400.0,,150184.0,22835.0,,,2.1555555555555554,1,0,5,0
2020-05-27,วันพุธ,1,normal,normal,25169.0,325600.0,,158444.0,23458.0,,,0.0666666666666666,2,0,5,0
2020-05-28,วันพหัสบดี,1,normal,normal,25129.0,327600.0,,160084.0,23432.0,,,1.3555555555555554,3,0,5,0
2020-05-29,วันศุกร์,1,normal,normal,26602.0,344700.0,,167740.0,23926.0,,,14.955555555555556,4,0,5,1
2020-05-30,วันเสาร์,0,normal,normal,15680.0,222100.0,,108647.0,17102.0,,,20.200000000000003,5,1,5,1
2020-05-31,วันอาทิตย์,0,normal,normal,13287.0,185600.0,,88723.0,13858.0,,,1.577777777777778,6,1,5,0
2020-06-01,วันจันทร์,1,normal,normal,28456.0,381400.0,,185873.0,27168.0,,,0.8222222222222223,0,0,6,0
2020-06-02,วันอังคาร,1,normal,normal,29858.0,394300.0,,191447.0,27448.0,,,10.488888888888887,1,0,6,1
2020-06-03,วันพุธ,0,holiday,วันเฉลิมฯ พระบรมราชินี,15421.0,218300.0,,104856.0,15505.0,,,1.1555555555555557,2,0,6,0
2020-06-04,วันพหัสบดี,1,normal,normal,29092.0,389200.0,,190076.0,27941.0,,,5.666666666666668,3,0,6,1
2020-06-05,วันศุกร์,1,normal,normal,30168.0,405400.0,,193417.0,28498.0,,,2.1333333333333337,4,0,6,0
2020-06-06,วันเสาร์,0,normal,normal,17937.0,260500.0,,122248.0,19098.0,,,1.1777777777777778,5,1,6,0
2020-06-07,วันอาทิตย์,0,normal,normal,15102.0,217600.0,,90497.0,15244.0,,,5.644444444444445,6,1,6,1
2020-06-08,วันจันทร์,1,normal,normal,30611.0,409800.0,,193541.0,28529.0,,,5.511111111111111,0,0,6,1
2020-06-09,วันอังคาร,1,normal,normal,30386.0,411600.0,,196626.0,28311.0,,,1.5777777777777775,1,0,6,0
2020-06-10,วันพุธ,1,normal,normal,32698.0,421100.0,,202028.0,28983.0,,,0.1111111111111111,2,0,6,0
2020-06-11,วันพหัสบดี,1,normal,normal,30559.0,418900.0,,200613.0,28663.0,,,0.0222222222222222,3,0,6,0
2020-06-12,วันศุกร์,1,normal,normal,31212.0,437200.0,,205869.0,30156.0,,,0.1777777777777777,4,0,6,0
2020-06-13,วันเสาร์,0,normal,normal,19342.0,283600.0,,132852.0,19896.0,,,0.0,5,1,6,0
2020-06-14,วันอาทิตย์,0,normal,normal,15945.0,231300.0,,107463.0,16234.0,,,28.244444444444444,6,1,6,1
2020-06-15,วันจันทร์,1,normal,normal,32913.0,435600.0,,208084.0,30080.0,,,3.0,0,0,6,0
2020-06-16,วันอังคาร,1,normal,normal,32867.0,444300.0,,212824.0,30628.0,,,13.622222222222222,1,0,6,1
2020-06-17,วันพุธ,1,normal,normal,31561.0,432300.0,,215879.0,30893.0,,,16.622222222222224,2,0,6,1
2020-06-18,วันพหัสบดี,1,normal,normal,31995.0,448500.0,,216325.0,30594.0,,,6.044444444444444,3,0,6,1
2020-06-19,วันศุกร์,1,normal,normal,33638.0,466600.0,,225022.0,32351.0,,,1.3999999999999997,4,0,6,0
2020-06-20,วันเสาร์,0,normal,normal,21787.0,307400.0,,143847.0,21490.0,,,0.7555555555555556,5,1,6,0
2020-06-21,วันอาทิตย์,0,normal,normal,17677.0,243500.0,,111089.0,16611.0,,,12.177777777777775,6,1,6,1
2020-06-22,วันจันทร์,1,normal,normal,33066.0,448100.0,,215599.0,31046.0,,,2.422222222222222,0,0,6,0
2020-06-23,วันอังคาร,1,normal,normal,33295.0,463800.0,,224708.0,31500.0,,,1.4444444444444444,1,0,6,0
2020-06-24,วันพุธ,1,normal,normal,33938.0,472300.0,,227345.0,32414.0,,,1.4666666666666668,2,0,6,0
2020-06-25,วันพหัสบดี,1,normal,normal,34312.0,481100.0,,228850.0,32469.0,,,11.355555555555556,3,0,6,1
2020-06-26,วันศุกร์,1,normal,normal,33568.0,508100.0,,239392.0,34133.0,,,0.0222222222222222,4,0,6,0
2020-06-27,วันเสาร์,0,normal,normal,24082.0,339900.0,,156982.0,23416.0,,,0.0,5,1,6,0
2020-06-28,วันอาทิตย์,0,normal,normal,20365.0,277700.0,,126898.0,18966.0,,,4.31111111111111,6,1,6,0
2020-06-29,วันจันทร์,1,normal,normal,35270.0,495600.0,,226358.0,34472.0,,,2.355555555555556,0,0,6,0
2020-06-30,วันอังคาร,1,normal,normal,36207.0,525900.0,,250830.0,35886.0,,,0.0222222222222222,1,0,6,0
2020-07-01,วันพุธ,1,normal,normal,39009.0,554000.0,,272667.0,39028.0,,,7.155555555555556,2,0,7,1
2020-07-02,วันพหัสบดี,1,normal,normal,40440.0,557000.0,,269712.0,38434.0,,,0.6888888888888889,3,0,7,0
2020-07-03,วันศุกร์,1,normal,normal,42485.0,597900.0,,284411.0,41555.0,,,15.822222222222225,4,0,7,1
2020-07-04,วันเสาร์,0,normal,normal,25423.0,359700.0,,162955.0,22707.0,,,0.0444444444444444,5,1,7,0
2020-07-05,วันอาทิตย์,0,holiday,วันอาสาฬหบูชา,19652.0,307700.0,,141051.0,18861.0,,,0.0222222222222222,6,1,7,0
2020-07-06,วันจันทร์,0,holiday,วันเข้าพรรษา (ราชการ),22088.0,291700.0,,135082.0,18486.0,,,4.044444444444444,0,0,7,0
2020-07-07,วันอังคาร,0,holiday,วันหยุดชดเชย,34877.0,454400.0,,225204.0,29596.0,,,4.977777777777778,1,0,7,0
2020-07-08,วันพุธ,1,normal,normal,41230.0,563100.0,,278118.0,40862.0,,,0.3333333333333333,2,0,7,0
2020-07-09,วันพหัสบดี,1,normal,normal,40156.0,565500.0,,273166.0,39958.0,,,0.9333333333333332,3,0,7,0
2020-07-10,วันศุกร์,1,normal,normal,41957.0,595600.0,,287340.0,41869.0,,,0.0444444444444444,4,0,7,0
2020-07-11,วันเสาร์,0,normal,normal,26214.0,380600.0,,176565.0,25857.0,,,0.4666666666666667,5,1,7,0
2020-07-12,วันอาทิตย์,0,normal,normal,22199.0,311998.0,,132999.0,21022.0,,,2.8666666666666663,6,1,7,0
2020-07-13,วันจันทร์,1,normal,normal,41908.0,555200.0,,268319.0,41053.0,,,33.3111111111111,0,0,7,1
2020-07-14,วันอังคาร,1,normal,normal,39111.0,551900.0,,272866.0,40611.0,,,5.822222222222223,1,0,7,1
2020-07-15,วันพุธ,1,normal,normal,41183.0,547900.0,,270123.0,40364.0,,,9.244444444444444,2,0,7,1
2020-07-16,วันพหัสบดี,1,normal,normal,40871.0,550700.0,,271974.0,40592.0,,,13.08888888888889,3,0,7,1
2020-07-17,วันศุกร์,1,normal,normal,42491.0,558500.0,,284690.0,42450.0,,,0.2222222222222222,4,0,7,0
2020-07-18,วันเสาร์,0,normal,normal,25618.0,362600.0,,171688.0,26463.0,,,0.7333333333333334,5,1,7,0
2020-07-19,วันอาทิตย์,0,normal,normal,23411.0,294600.0,,134995.0,21314.0,,,3.333333333333333,6,1,7,0
