วันที่,day_name,day_type,holiday_type,holiday_subject,ยานพาหนะ/ท่า,ปริมาณ
2020-03-10,วันอังคาร,1,normal,normal,รถไฟฟ้า BTS,710000.0
2020-03-11,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,350732.0
2020-03-11,วันพุธ,1,normal,normal,รถไฟฟ้าสายสีม่วง,43956.0
2020-03-11,วันพุธ,1,normal,normal,รถไฟฟ้า ARL,59968.0
2020-03-11,วันพุธ,1,normal,normal,รถไฟฟ้า BTS,691000.0
2020-03-12,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,345992.0
2020-03-12,วันพหัสบดี,1,normal,normal,รถไฟฟ้าสายสีม่วง,43475.0
2020-03-12,วันพหัสบดี,1,normal,normal,รถไฟฟ้า ARL,58376.0
2020-03-12,วันพหัสบดี,1,normal,normal,รถไฟฟ้า BTS,690000.0
2020-03-13,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,342285.0
2020-03-13,วันศุกร์,1,normal,normal,รถไฟฟ้าสายสีม่วง,43624.0
2020-03-13,วันศุกร์,1,normal,normal,รถไฟฟ้า ARL,58834.0
2020-03-13,วันศุกร์,1,normal,normal,รถไฟฟ้า BTS,686000.0
2020-03-14,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีน้ำเงิน,166863.0
2020-03-14,วันเสาร์,0,normal,normal,รถไฟฟ้าสายสีม่วง,22099.0
2020-03-14,วันเสาร์,0,normal,normal,รถไฟฟ้า ARL,32481.0
