วันที่,day_type,holiday_subject,รถไฟฟ้า ARL,รถไฟฟ้า BTS,รถไฟฟ้าสายสีชมพู,รถไฟฟ้าสายสีน้ำเงิน,รถไฟฟ้าสายสีม่วง,รถไฟฟ้าสายสีเหลือง,รถไฟฟ้าสายสีแดง,rain_average,dow
2020-06-21,0,normal,17677,243500,not available,111089,16611,not available,not available,12.177777777777775,6
2020-06-22,1,normal,33066,448100,not available,215599,31046,not available,not available,2.422222222222222,0
2020-06-23,1,normal,33295,463800,not available,224708,31500,not available,not available,1.4444444444444444,1
2020-06-24,1,normal,33938,472300,not available,227345,32414,not available,not available,1.4666666666666668,2
2020-06-25,1,normal,34312,481100,not available,228850,32469,not available,not available,11.355555555555556,3
2020-06-26,1,normal,33568,508100,not available,239392,34133,not available,not available,0.0222222222222222,4
2020-06-27,0,normal,24082,339900,not available,156982,23416,not available,not available,0.0,5
2020-06-28,0,normal,20365,277700,not available,126898,18966,not available,not available,4.31111111111111,6
2020-06-29,1,normal,35270,495600,not available,226358,34472,not available,not available,2.355555555555556,0
2020-06-30,1,normal,36207,525900,not available,250830,35886,not available,not available,0.0222222222222222,1
2020-07-01,1,normal,39009,554000,not available,272667,39028,not available,not available,7.155555555555556,2
2020-07-02,1,normal,40440,557000,not available,269712,38434,not available,not available,0.6888888888888889,3
2020-07-03,1,normal,42485,597900,not available,284411,41555,not available,not available,15.822222222222225,4
2020-07-04,0,normal,25423,359700,not available,162955,22707,not available,not available,0.0444444444444444,5
2020-07-05,0,วันอาสาฬหบูชา,19652,307700,not available,141051,18861,not available,not available,0.0222222222222222,6
2020-07-06,0,วันเข้าพรรษา (ราชการ),22088,291700,not available,135082,18486,not available,not available,4.044444444444444,0
2020-07-07,0,วันหยุดชดเชย,34877,454400,not available,225204,29596,not available,not available,4.977777777777778,1
2020-07-08,1,normal,41230,563100,not available,278118,40862,not available,not available,0.3333333333333333,2
2020-07-09,1,normal,40156,565500,not available,273166,39958,not available,not available,0.9333333333333332,3
2020-07-10,1,normal,41957,595600,not available,287340,41869,not available,not available,0.0444444444444444,4
2020-07-11,0,normal,26214,380600,not available,176565,25857,not available,not available,0.4666666666666667,5
2020-07-12,0,normal,22199,311998,not available,132999,21022,not available,not available,2.8666666666666663,6
2020-07-13,1,normal,41908,555200,not available,268319,41053,not available,not available,33.3111111111111,0
2020-07-14,1,normal,39111,551900,not available,272866,40611,not available,not available,5.822222222222223,1
2020-07-15,1,normal,41183,547900,not available,270123,40364,not available,not available,9.244444444444444,2
2020-07-16,1,normal,40871,550700,not available,271974,40592,not available,not available,13.08888888888889,3
2020-07-17,1,normal,42491,558500,not available,284690,42450,not available,not available,0.2222222222222222,4
2020-07-18,0,normal,25618,362600,not available,171688,26463,not available,not available,0.7333333333333334,5
2020-07-19,0,normal,23411,294600,not available,134995,21314,not available,not available,3.333333333333333,6
2020-07-20,1,normal,39648,546200,not available,268111,41521,not available,not available,9.133333333333333,0
2020-07-21,1,normal,38152,558300,not available,275009,41071,not available,not available,13.955555555555556,1
2020-07-22,1,normal,40736,565600,not available,278795,41053,not available,not available,5.088888888888889,2
2020-07-23,1,normal,42200,572400,not available,280210,40724,not available,not available,5.822222222222222,3
2020-07-24,1,normal,43481,644000,not available,312723,47291,not available,not available,17.555555555555557,4
2020-07-25,0,normal,27874,362400,not available,166082,24395,not available,not available,13.511111111111113,5
